kind,variant,task,ttype,metric,mean,std,n_folds
module,tri,hand_tone,classification,WeightedKappa,0.86608854325,0.021950789359968418,4
module,wo_mdfan,BI,regression,MAE,7.015368660645194,0.5083577187687794,3
module,wo_mdfan,BI,regression,RMSE,9.778123748107717,0.8184658799513705,3
module,wo_mdfan,BI,regression,PearsonR,0.9328988010703264,0.006557652521351838,3
module,wo_mdfan,BI,regression,SpearmanRho,0.8974836419234474,0.01969845302665292,3
module,wo_mdfan,BI,regression,R2,0.866590568859596,0.009957549825007368,3
module,wo_mdfan,BI,regression,NMAE,0.07015368660645187,0.00508357718768781,3
module,wo_mdfan,FMA_UE,regression,MAE,1.6263609027940464,0.25557725681178084,3
module,wo_mdfan,FMA_UE,regression,RMSE,2.9357573856355326,0.8515585760831957,3
module,wo_mdfan,FMA_UE,regression,PearsonR,0.8911184055830329,0.061998865999070396,3
module,wo_mdfan,FMA_UE,regression,SpearmanRho,0.8408763086777307,0.069161607740257,3
module,wo_mdfan,FMA_UE,regression,R2,0.7793516948891074,0.12541342406217165,3
module,wo_mdfan,FMA_UE,regression,NMAE,0.08131804513970227,0.012778862840589027,3
module,wo_mdfan,hand_function,classification,Accuracy,0.6102198455139631,0.02433225814550595,3
module,wo_mdfan,hand_function,classification,MacroF1,0.582315418786007,0.05951118475440062,3
module,wo_mdfan,hand_function,classification,CohenKappa,0.5032991174209348,0.04005098485359162,3
module,wo_mdfan,hand_function,classification,WeightedKappa,0.7272058661425945,0.016506868019413975,3
module,wo_mdfan,hand_tone,classification,Accuracy,0.6500297088532383,0.04552730304097571,3
module,wo_mdfan,hand_tone,classification,MacroF1,0.4852227461495196,0.05984901178077661,3
module,wo_mdfan,hand_tone,classification,CohenKappa,0.5521212324975012,0.05993654276234575,3
module,wo_mdfan,hand_tone,classification,WeightedKappa,0.7277743657324841,0.0491194273988935,3
module,wo_trialign,BI,regression,MAE,6.513175484755885,1.0912958457172408,3
module,wo_trialign,BI,regression,RMSE,10.01835186039081,0.81322560983488,3
module,wo_trialign,BI,regression,PearsonR,0.9373001439652476,0.010425597861219537,3
module,wo_trialign,BI,regression,SpearmanRho,0.9141906763251142,0.020050899540069052,3
module,wo_trialign,BI,regression,R2,0.8567568141663058,0.03872776029289903,3
module,wo_trialign,BI,regression,NMAE,0.06513175484755883,0.010912958457172408,3
module,wo_trialign,FMA_UE,regression,MAE,1.2865711913814308,0.038149957537081405,3
module,wo_trialign,FMA_UE,regression,RMSE,2.5815111033882454,0.8946601359208012,3
module,wo_trialign,FMA_UE,regression,PearsonR,0.9230173488348646,0.04507747336998751,3
module,wo_trialign,FMA_UE,regression,SpearmanRho,0.9038797040670334,0.04726208543973366,3
module,wo_trialign,FMA_UE,regression,R2,0.8356269219688276,0.08787661201406823,3
module,wo_trialign,FMA_UE,regression,NMAE,0.0643285595690715,0.0019074978768540338,3
module,wo_trialign,hand_function,classification,Accuracy,0.7195484254307783,0.03910750486489438,3
module,wo_trialign,hand_function,classification,MacroF1,0.6914596253419782,0.052115778388733984,3
module,wo_trialign,hand_function,classification,CohenKappa,0.643318574397618,0.04302632029083025,3
module,wo_trialign,hand_function,classification,WeightedKappa,0.8100295782057594,0.04635125232763915,3
module,wo_trialign,hand_tone,classification,Accuracy,0.7103386809269162,0.04217297028278422,3
module,wo_trialign,hand_tone,classification,MacroF1,0.6310223817576759,0.0729491139720993,3
module,wo_trialign,hand_tone,classification,CohenKappa,0.638855455607641,0.054527233463947555,3
module,wo_trialign,hand_tone,classification,WeightedKappa,0.813295842190843,0.03746125832814633,3
module,wo_wbydtw,BI,regression,MAE,6.441852940311761,1.2262100919816583,3
module,wo_wbydtw,BI,regression,RMSE,9.920524178813404,0.8213314644481253,3
module,wo_wbydtw,BI,regression,PearsonR,0.9388646792752948,0.010994087922334394,3
module,wo_wbydtw,BI,regression,SpearmanRho,0.91404924299881,0.021395521176882277,3
module,wo_wbydtw,BI,regression,R2,0.8595935976196986,0.03754715881665478,3
module,wo_wbydtw,BI,regression,NMAE,0.06441852940311757,0.012262100919816618,3
module,wo_wbydtw,FMA_UE,regression,MAE,1.3219825430190502,0.025151235273253445,3
module,wo_wbydtw,FMA_UE,regression,RMSE,2.8100466886078426,0.638859440764621,3
module,wo_wbydtw,FMA_UE,regression,PearsonR,0.9104925539622698,0.031508044937685366,3
module,wo_wbydtw,FMA_UE,regression,SpearmanRho,0.8938949559914019,0.03893798557988862,3
module,wo_wbydtw,FMA_UE,regression,R2,0.8114467753313944,0.06576514480371129,3
module,wo_wbydtw,FMA_UE,regression,NMAE,0.06609912715095247,0.0012575617636626376,3
module,wo_wbydtw,hand_function,classification,Accuracy,0.7195484254307783,0.03910750486489438,3
module,wo_wbydtw,hand_function,classification,MacroF1,0.6785874865874867,0.0601776293583063,3
module,wo_wbydtw,hand_function,classification,CohenKappa,0.642638213222633,0.044385099234293464,3
module,wo_wbydtw,hand_function,classification,WeightedKappa,0.8106474955096911,0.04502493009011207,3
module,wo_wbydtw,hand_tone,classification,Accuracy,0.7400475341651812,0.04564057327559991,3
module,wo_wbydtw,hand_tone,classification,MacroF1,0.6575953458306399,0.05970992225981335,3
module,wo_wbydtw,hand_tone,classification,CohenKappa,0.6755583497994132,0.05691606931183623,3
module,wo_wbydtw,hand_tone,classification,WeightedKappa,0.825773862573072,0.03531234941966918,3
