epoch,train_loss,val_loss,val_accuracy,val_macro_f1,val_cohen_kappa,val_weighted_kappa,val_precision_c0,val_recall_c0,val_f1_c0,val_support_c0,val_precision_c1,val_recall_c1,val_f1_c1,val_support_c1,val_precision_c2,val_recall_c2,val_f1_c2,val_support_c2,val_precision_c3,val_recall_c3,val_f1_c3,val_support_c3,val_precision_c4,val_recall_c4,val_f1_c4,val_support_c4,is_best
29,0.18916703037125307,7.799390728320481,0.20588235294117646,0.1985294117647059,0.011840688912809538,0.2724425887265135,0.2,0.09090909090909091,0.125,11,0.09090909090909091,0.16666666666666666,0.11764705882352941,6,0.0,0.0,0.0,5,0.2,0.3333333333333333,0.25,6,0.5,0.5,0.5,6,False
30,0.18556479746807275,7.259201474591411,0.23529411764705882,0.21769984917043744,0.04329004329004327,0.2502564102564102,0.3333333333333333,0.18181818181818182,0.23529411764705882,11,0.1,0.16666666666666666,0.125,6,0.0,0.0,0.0,5,0.2222222222222222,0.3333333333333333,0.26666666666666666,6,0.42857142857142855,0.5,0.46153846153846156,6,False
31,0.1378069676161238,7.8164100324802455,0.23529411764705882,0.22003878474466712,0.04329004329004327,0.28144329896907216,0.3333333333333333,0.18181818181818182,0.23529411764705882,11,0.09090909090909091,0.16666666666666666,0.11764705882352941,6,0.0,0.0,0.0,5,0.25,0.3333333333333333,0.2857142857142857,6,0.42857142857142855,0.5,0.46153846153846156,6,False
32,0.15444623206482322,7.682805432243095,0.29411764705882354,0.28724263352746326,0.10819672131147551,0.26010362694300515,0.375,0.2727272727272727,0.3157894736842105,11,0.14285714285714285,0.16666666666666666,0.15384615384615385,6,0.3333333333333333,0.2,0.25,5,0.2727272727272727,0.5,0.35294117647058826,6,0.4,0.3333333333333333,0.36363636363636365,6,False
33,0.13219484627107692,7.753643931228346,0.2647058823529412,0.2362348178137652,0.07002188183807445,0.2631048387096775,0.375,0.2727272727272727,0.3157894736842105,11,0.14285714285714285,0.16666666666666666,0.15384615384615385,6,0.0,0.0,0.0,5,0.2,0.3333333333333333,0.25,6,0.42857142857142855,0.5,0.46153846153846156,6,False
34,0.14354128203994923,8.300992385127852,0.20588235294117646,0.1899159663865546,0.006493506493506551,0.24137931034482762,0.3333333333333333,0.18181818181818182,0.23529411764705882,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.25,0.3333333333333333,0.2857142857142857,6,0.375,0.5,0.42857142857142855,6,False
35,0.18177055001827588,7.8921430268918975,0.20588235294117646,0.19008547008547008,0.0010881392818281599,0.23751274209989803,0.2857142857142857,0.18181818181818182,0.2222222222222222,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.2222222222222222,0.3333333333333333,0.26666666666666666,6,0.42857142857142855,0.5,0.46153846153846156,6,False
36,0.15595741704479119,8.304865686880571,0.20588235294117646,0.18277310924369747,0.006493506493506551,0.21485943775100402,0.3333333333333333,0.18181818181818182,0.23529411764705882,11,0.0,0.0,0.0,6,0.0,0.0,0.0,5,0.2,0.3333333333333333,0.25,6,0.375,0.5,0.42857142857142855,6,False
37,0.12406296825201119,8.401682325740726,0.23529411764705882,0.21396825396825397,0.0380848748639826,0.22883064516129037,0.2857142857142857,0.18181818181818182,0.2222222222222222,11,0.1111111111111111,0.16666666666666666,0.13333333333333333,6,0.0,0.0,0.0,5,0.25,0.3333333333333333,0.2857142857142857,6,0.375,0.5,0.42857142857142855,6,False
38,0.122337265881025,7.709339502306118,0.2647058823529412,0.2361904761904762,0.07508161044613715,0.2631048387096775,0.42857142857142855,0.2727272727272727,0.3333333333333333,11,0.1111111111111111,0.16666666666666666,0.13333333333333333,6,0.0,0.0,0.0,5,0.25,0.3333333333333333,0.2857142857142857,6,0.375,0.5,0.42857142857142855,6,False
39,0.16831330819377874,8.486853904176686,0.2647058823529412,0.23879336349924585,0.07908992416034677,0.2497492477432297,0.3333333333333333,0.18181818181818182,0.23529411764705882,11,0.09090909090909091,0.16666666666666666,0.11764705882352941,6,0.0,0.0,0.0,5,0.2857142857142857,0.3333333333333333,0.3076923076923077,6,0.4444444444444444,0.6666666666666666,0.5333333333333333,6,False
40,0.09857106523039222,8.63730387889591,0.23529411764705882,0.21506787330316746,0.0484391819160388,0.2452068617558022,0.4,0.18181818181818182,0.25,11,0.09090909090909091,0.16666666666666666,0.11764705882352941,6,0.0,0.0,0.0,5,0.2857142857142857,0.3333333333333333,0.3076923076923077,6,0.3333333333333333,0.5,0.4,6,False
